PO_NUMBER,PO_LINE_ITEM,DOC_TYPE,PO_DATE,VENDOR_ID,SUPPLIER_NAME,MATERIAL_NUMBER,SHORT_TEXT,ORDER_QTY,ORDER_UOM,NET_PRICE,PRICE_UNIT,CURRENCY,NET_VALUE_USD,INCOTERMS,INCOTERMS_LOCATION,PLANT_CODE,DELIVERY_DATE,PURCH_GROUP,PO_STATUS
4500087008,00010,NB,2024-06-08,111034,Fukuoka Tooling Industrial Corp.,CMP-ADH-0240,structural adhesive 141,6,KPC,"7,456.00",100,TWD,"USD 13,980.00",DAP,CNYTN,MER-DC-US-03,2024-07-09,P101,OPEN
4500087015,00010,NB,2024-06-13,0000105691,Hsinchu Circuit Inc.,CMP-CAM-0437,camera module 338,17243,EA,"3,899.00",100,USD,"USD 672,304.57",CIF,JPNGO,MER-DC-US-04,2024-07-15,P107,CANCELLED
4500087015,00020,NB,2024-06-13,0000105691,Hsinchu Circuit Inc.,CMP-CAM-0237,camera module 138 - expedite,13608,EA,130.50,10,USD,"177,584.40",CIF,JPNGO,MER-DC-US-05,2024-07-15,P107,CANCELLED
4500087020,00010,NB,2024-06-18,0000120487,"Suzhou Brightway Circuit Co., Ltd.",CMP-CBL-0153,flex ribbon cable 054,18526,PC,27.50,10,USD,"USD 50,946.50",DDP,KRPUS,MER-DC-US-05,2024-07-21,P107,OPEN
4500087020,00020,NB,2024-06-18,0000120487,"Suzhou Brightway Circuit Co., Ltd.",CMP-CBL-0353,flex ribbon cable 254,9026,EA,460.00,1000,USD,"4,151.96",DDP,KRPUS,MER-DC-US-06,2024-07-21,P107,CANCELLED
4500087022,00010,NB,2024-06-23,0000108020,"Ulsan Precision Industry Co., Ltd.",CMP-BAT-0346,Li-ion battery pack 239,16903,PC,"85,176.00",1000,CNY,"199,962.49",DDP,KRPUS,MER-DC-US-06,2024-07-27,P106,OPEN
4500087022,00020,NB,2024-06-23,0000108020,"Ulsan Precision Industry Co., Ltd.",CMP-BAT-0146,Li-ion battery pack 047,5074,EA,810.00,10,CNY,"USD 57,082.50",DDP,KRPUS,MER-DC-NL-01,2024-07-27,P106,CLOSED
4500087026,00010,NB,2024-06-28,0000105006,Kunshan Polymer Corporation,CMP-PCB-0252,main logic board assembly 153,7123,EA,"4,972.40",1,JPY,"228,505.84",FCA,CNYTN,MER-DC-NL-01,2024-08-02,P103,CANCELLED
4500087026,00020,NB,2024-06-28,0000105006,Kunshan Polymer Corporation,CMP-PCB-0453,main logic board assembly 354,9356,EA,"581,870.00",100,JPY,"351,224.24",FCA,CNYTN,MER-DC-DE-01,2024-08-02,P103,OPEN
4500087029,00010,NB,2024-07-03,0000113637,PUSAN METALWORKS INDUSTRIAL CORP.,CMP-FST-0303,torx screw 204,43,KPC,"7,680.00",1000,TWD,"10,320.00",DAP,VNSGN,MER-DC-DE-01,2024-08-08,P103,CANCELLED
4500087029,00020,NB,2024-07-03,0000113637,PUSAN METALWORKS INDUSTRIAL CORP.,CMP-FST-0504,torx screw 405,17796,PC,"2,240.00",1000,TWD,"1,245.72",DAP,VNSGN,MER-DC-CN-01,2024-08-08,P103,CLOSED
4500087037,00010,ZNB,2024-07-08,0000106376,Osaka Meiwa Precision Joint Stock Company,MRO-GEN-0728,maintenance supply item 28,544,EA,"3,648.40",10,USD,"USD 198,472.96",FCA,CNYTN,MER-DC-CN-01,2024-08-14,P104,OPEN
4500087037,00020,ZNB,2024-07-08,0000106376,Osaka Meiwa Precision Joint Stock Company,CMP-ENC-0222,machined housing 123 - expedite,17809,EA,"3,040.00",1000,USD,"54,139.36",FCA,CNYTN,MER-DC-CN-02,2024-08-14,P104,CLOSED
