CONTRACT_NUMBER,SUPPLIER_ID,SUPPLIER_LEGAL_NAME,DUNS_NUMBER,CONTRACT_TYPE,EFFECTIVE_DATE,EXPIRATION_DATE,AUTO_RENEWAL_FLAG,PAYMENT_TERMS,DEFAULT_INCOTERMS,INCOTERMS_NAMED_PLACE,ANNUAL_COMMITTED_SPEND,COMMITMENT_CURRENCY,REBATE_PCT,SUPPLIER_COUNTRY,GOVERNING_LAW,BUYER_ENTITY,STATUS
MSA-2019-0101,0000104732,"Hailong Precision Industry Co., Ltd.",604411000,MSA,2019-06-21,2022-06-21,,NET30,FOB,JPNGO port of loading,"5,000,000",USD,1.5,CN,PRC,Meridian Trading (Shanghai) Co.,EXPIRED
MSA-2024-0117,0000104732,"Hailong Precision Industry Co., Ltd.",604411000,MSA,2024-07-22,2027-07-22,Y,NET30,FOB,Shenzhen Yantian port,"8,500,000",USD,2.0,CN,PRC,Meridian Devices Inc.,ACTIVE
AMD-2025-0103,0000104732,"Hailong Precision Industry Co., Ltd.",604411000,AMENDMENT,2025-08-23,2027-08-23,N,NET30,FOB,TWTPE port of loading,,USD,2.5,CN,PRC,Meridian International B.V.,ACTIVE
SOW-2025-0104,0000104732,"Hailong Precision Industry Co., Ltd.",604411000,SOW,2025-09-24,2027-09-24,,NET30,FOB,CNSHA port of loading,,,,CN,New York,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0105,0000104869,Suzhou Brightway Electronics Industrial Corp.,604411977,MSA,2019-10-25,2022-10-25,Y,NET45,FCA,TWKHH port of loading,"5,325,000",USD,0.0,TW,Taiwan,Meridian Devices Inc.,EXPIRED
MSA-2024-0106,0000104869,Suzhou Brightway Electronics Industrial Corp.,604411977,MSA,2024-11-26,2027-11-26,N,NET45,FCA,VNSGN port of loading,"5,325,000",USD,1.5,TW,Taiwan,Meridian International B.V.,ACTIVE
AMD-2025-0107,0000104869,Suzhou Brightway Electronics Industrial Corp.,604411977,AMENDMENT,2025-12-27,2027-12-27,,NET45,FCA,KRPUS port of loading,,USD,2.0,TW,Taiwan,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0108,0000105006,Kunshan Polymer Corporation,604412954,MSA,2019-01-01,2022-01-01,Y,NET60,EXW,CNXMN port of loading,"5,650,000",USD,2.5,JP,Japan,Meridian Devices Inc.,EXPIRED
MSA-2024-0109,0000105006,Kunshan Polymer Corporation,604412954,MSA,2024-02-02,2027-02-02,N,NET60,EXW,TWTPE port of loading,"5,650,000",USD,,JP,Japan,Meridian International B.V.,ACTIVE
AMD-2025-0110,0000105006,Kunshan Polymer Corporation,604412954,AMENDMENT,2025-03-03,2027-03-03,,NET60,EXW,CNSHA port of loading,,EUR,0.0,JP,Japan,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0111,0000105143,"Volta Energy Co., Ltd.",604413931,MSA,2019-04-04,2022-04-04,Y,2/10NET30,CIF,TWKHH port of loading,"5,975,000",USD,1.5,KR,South Korea,Meridian Devices Inc.,EXPIRED
MSA-2024-0112,0000105143,"Volta Energy Co., Ltd.",604413931,MSA,2024-05-05,2027-05-05,N,2/10NET30,CIF,VNSGN port of loading,"5,975,000",USD,2.0,KR,South Korea,Meridian International B.V.,ACTIVE
AMD-2025-0113,0000105143,"Volta Energy Co., Ltd.",604413931,AMENDMENT,2025-06-06,2027-06-06,,2/10NET30,CIF,KRPUS port of loading,,USD,2.5,KR,South Korea,Meridian Trading (Shanghai) Co.,ACTIVE
SOW-2025-0114,0000105143,"Volta Energy Co., Ltd.",604413931,SOW,2025-07-07,2027-07-07,Y,2/10NET30,CIF,JPNGO port of loading,,,,KR,South Korea,Meridian Devices Inc.,ACTIVE
MSA-2019-0115,0000105280,Taoyuan Optics Joint Stock Company,604414908,MSA,2019-08-08,2022-08-08,N,NET30,DDP,TWTPE port of loading,"6,300,000",USD,0.0,VN,Vietnam,Meridian International B.V.,EXPIRED
MSA-2024-0116,0000105280,Taoyuan Optics Joint Stock Company,604414908,MSA,2024-09-09,2027-09-09,,NET30,DDP,CNSHA port of loading,"6,300,000",USD,1.5,VN,Vietnam,Meridian Trading (Shanghai) Co.,ACTIVE
AMD-2025-0117,0000105280,Taoyuan Optics Joint Stock Company,604414908,AMENDMENT,2025-10-10,2027-10-10,Y,NET30,DDP,CNYTN port of loading,,USD,2.0,VN,New York,Meridian Devices Inc.,ACTIVE
MSA-2019-0118,0000105417,"Nagoya Metalworks Industry Co., Ltd.",604415885,MSA,2019-11-11,2022-11-11,N,NET45,DAP,VNSGN port of loading,"6,625,000",USD,2.5,CN,PRC,Meridian International B.V.,EXPIRED
MSA-2024-0119,0000105417,"Nagoya Metalworks Industry Co., Ltd.",604415885,MSA,2024-12-12,2027-12-12,,NET45,DAP,TBD,"6,625,000",USD,,CN,PRC,Meridian Trading (Shanghai) Co.,ACTIVE
AMD-2025-0120,0000105417,"Nagoya Metalworks Industry Co., Ltd.",604415885,AMENDMENT,2025-01-13,2027-01-13,Y,NET45,DAP,JPNGO port of loading,,USD,0.0,CN,PRC,Meridian Devices Inc.,ACTIVE
MSA-2019-0121,0000105554,Dongguan Rixin Microsystems Industrial Corp.,604416862,MSA,2019-02-14,2022-02-14,N,NET60,FOB,TWTPE port of loading,"6,950,000",EUR,1.5,TW,Taiwan,Meridian Trading (Shanghai) Co.,EXPIRED
MSA-2024-0122,0000105554,Dongguan Rixin Microsystems Industrial Corp.,604416862,MSA,2024-03-15,2027-03-15,,NET60,FOB,CNSHA port of loading,"6,950,000",USD,2.0,TW,Taiwan,Meridian Devices Inc.,ACTIVE
AMD-2025-0123,0000105554,Dongguan Rixin Microsystems Industrial Corp.,604416862,AMENDMENT,2025-04-16,2027-04-16,Y,NET60,FOB,CNYTN port of loading,,USD,2.5,TW,Taiwan,Meridian International B.V.,ACTIVE
SOW-2025-0124,0000105554,Dongguan Rixin Microsystems Industrial Corp.,604416862,SOW,2025-05-17,2027-05-17,N,NET60,FOB,TWKHH port of loading,,,,TW,Taiwan,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0125,0000105691,Hsinchu Circuit Inc.,604417839,MSA,2019-06-18,2022-06-18,,2/10NET30,FCA,KRPUS port of loading,"7,275,000",USD,0.0,US,New York,Meridian Devices Inc.,EXPIRED
MSA-2024-0126,0000105691,Hsinchu Circuit Inc.,604417839,MSA,2024-07-19,2027-07-19,Y,2/10NET30,FCA,JPNGO port of loading,"7,275,000",USD,1.5,US,New York,Meridian International B.V.,ACTIVE
AMD-2025-0127,0000105691,Hsinchu Circuit Inc.,604417839,AMENDMENT,2025-08-20,2027-08-20,N,2/10NET30,FCA,CNXMN port of loading,,USD,2.0,US,New York,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0128,0000105828,"Pusan Display Industry Co., Ltd.",604418816,MSA,2019-09-21,2022-09-21,,NET30,EXW,CNSHA port of loading,"7,600,000",USD,2.5,CN,PRC,Meridian Devices Inc.,EXPIRED
MSA-2024-0129,0000105828,"Pusan Display Industry Co., Ltd.",604418816,MSA,2024-10-22,2027-10-22,Y,NET30,EXW,CNYTN port of loading,"7,600,000",USD,,CN,PRC,Meridian International B.V.,ACTIVE
AMD-2025-0130,0000105828,"Pusan Display Industry Co., Ltd.",604418816,AMENDMENT,2025-11-23,2027-11-23,N,NET30,EXW,TWKHH port of loading,,USD,0.0,CN,New York,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0131,0000105965,Hanoi Lotus Acoustics Industrial Corp.,604419793,MSA,2019-12-24,2022-12-24,,NET45,CIF,KRPUS port of loading,"7,925,000",USD,1.5,TW,Taiwan,Meridian Devices Inc.,EXPIRED
MSA-2024-0132,0000105965,Hanoi Lotus Acoustics Industrial Corp.,604419793,MSA,2024-01-25,2027-01-25,Y,NET45,CIF,JPNGO port of loading,"7,925,000",EUR,2.0,TW,Taiwan,Meridian International B.V.,ACTIVE
AMD-2025-0133,0000105965,Hanoi Lotus Acoustics Industrial Corp.,604419793,AMENDMENT,2025-02-26,2027-02-26,N,NET45,CIF,CNXMN port of loading,,USD,2.5,TW,Taiwan,Meridian Trading (Shanghai) Co.,ACTIVE
SOW-2025-0134,0000105965,Hanoi Lotus Acoustics Industrial Corp.,604419793,SOW,2025-03-27,2027-03-27,,NET45,CIF,TWTPE port of loading,,,,TW,Taiwan,Meridian Devices Inc.,ACTIVE
MSA-2019-0135,0000106102,Ningbo Anchor Tooling Corporation,604420770,MSA,2019-04-01,2022-04-01,Y,NET60,DDP,CNYTN port of loading,"8,250,000",USD,0.0,JP,Japan,Meridian International B.V.,EXPIRED
MSA-2024-0136,0000106102,Ningbo Anchor Tooling Corporation,604420770,MSA,2024-05-02,2027-05-02,N,NET60,DDP,TBD,"8,250,000",USD,1.5,JP,Japan,Meridian Trading (Shanghai) Co.,ACTIVE
AMD-2025-0137,0000106102,Ningbo Anchor Tooling Corporation,604420770,AMENDMENT,2025-06-03,2027-06-03,,NET60,DDP,VNSGN port of loading,,USD,2.0,JP,Japan,Meridian Devices Inc.,ACTIVE
MSA-2019-0138,0000106239,"Chengdu Skylark Components Co., Ltd.",604421747,MSA,2019-07-04,2022-07-04,Y,2/10NET30,DAP,JPNGO port of loading,"8,575,000",USD,2.5,KR,South Korea,Meridian International B.V.,EXPIRED
MSA-2024-0139,0000106239,"Chengdu Skylark Components Co., Ltd.",604421747,MSA,2024-08-05,2027-08-05,N,2/10NET30,DAP,CNXMN port of loading,"8,575,000",USD,,KR,South Korea,Meridian Trading (Shanghai) Co.,ACTIVE
AMD-2025-0140,0000106239,"Chengdu Skylark Components Co., Ltd.",604421747,AMENDMENT,2025-09-06,2027-09-06,,2/10NET30,DAP,TWTPE port of loading,,USD,0.0,KR,South Korea,Meridian Devices Inc.,ACTIVE
MSA-2019-0141,0000106376,Osaka Meiwa Precision Joint Stock Company,604422724,MSA,2019-10-07,2022-10-07,Y,NET30,FOB,CNYTN port of loading,"8,900,000",USD,1.5,VN,Vietnam,Meridian Trading (Shanghai) Co.,EXPIRED
MSA-2024-0142,0000106376,Osaka Meiwa Precision Joint Stock Company,604422724,MSA,2024-11-08,2027-11-08,N,NET30,FOB,TWKHH port of loading,"8,900,000",USD,2.0,VN,Vietnam,Meridian Devices Inc.,ACTIVE
AMD-2025-0143,0000106376,Osaka Meiwa Precision Joint Stock Company,604422724,AMENDMENT,2025-12-09,2027-12-09,,NET30,FOB,VNSGN port of loading,,EUR,2.5,VN,New York,Meridian International B.V.,ACTIVE
SOW-2025-0144,0000106376,Osaka Meiwa Precision Joint Stock Company,604422724,SOW,2025-01-10,2027-01-10,Y,NET30,FOB,KRPUS port of loading,,,,VN,Vietnam,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0145,0000106513,"Gumi Electronics Industry Co., Ltd.",604423701,MSA,2019-02-11,2022-02-11,N,NET45,FCA,CNXMN port of loading,"9,225,000",USD,0.0,CN,PRC,Meridian Devices Inc.,EXPIRED
MSA-2024-0146,0000106513,"Gumi Electronics Industry Co., Ltd.",604423701,MSA,2024-03-12,2027-03-12,,NET45,FCA,TWTPE port of loading,"9,225,000",USD,1.5,CN,PRC,Meridian International B.V.,ACTIVE
AMD-2025-0147,0000106513,"Gumi Electronics Industry Co., Ltd.",604423701,AMENDMENT,2025-04-13,2027-04-13,Y,NET45,FCA,CNSHA port of loading,,USD,2.0,CN,PRC,Meridian Trading (Shanghai) Co.,ACTIVE
