EV_ID,NTSB_NO,EV_DATE,EV_CITY,EV_STATE,EV_TYPE,ACFT_REGIST_NMBR,ACFT_MAKE,ACFT_MODEL,OPERATOR,INJ_TOT_F,DAMAGE,NARR_CAUSE
19821017X91943,ANC82LA709,1982-10-17,Miami,FL,ACC,N76CJ,CHAMPION,7ECA,,0,MINR,"The pilot's failure to maintain airspeed during takeoff, which resulted in a collision with terrain. Contributing to the accident was the contaminated runway surface."
19821216X15152,ANC82FA110,1982-12-16,Charlotte,NC,ACC,N512DY,LUSCOMBE,8A,,0,MINR,"The pilot's inadequate weather evaluation during landing, which resulted in a gear collapse. Contributing to the accident was the pilot's lack of recent experience in type."
19830105X45865,CEN83FA539,1983-01-05,Omaha,NE,ACC,2701J,ROCKWELL,COMMANDER 112A,CAMPBELL DONALD R,0,NONE,"The pilot's delayed go-around decision during cruise flight, which resulted in a hard landing. Contributing to the accident was inadequate maintenance inspection."
19830205X95711,DCA83LA676,1983-02-05,Norfolk,VA,ACC,N4155L,STINSON,108-3,,4,SUBS,"The pilot's delayed go-around decision during approach, which resulted in a runway excursion. Contributing to the accident was the dark night conditions."
19830407X55638,CEN83CA158,1983-04-07,Charlotte,NC,ACC,N11617,CIRRUS,SR22T,ATP FLIGHT SCHOOL LLC,4,DEST,"The pilot's inadequate preflight inspection during cruise flight, which resulted in a ground loop. Contributing to the accident was inadequate maintenance inspection."
19840707X24065,DCA84CA521,1984-07-07,Baltimore,MD,ACC,N839JH,CESSNA,210L,ROBERTS STEVEN L,0,DEST,"The pilot's inadequate preflight inspection during takeoff, which resulted in a nose-over. Contributing to the accident was inadequate maintenance inspection."
19850106X31443,GAA85LA469,1985-01-06,Fort Myers,FL,INC,N627RB,CHAMPION,7ECA,,0,SUBS,"The pilot's inadequate weather evaluation during cruise flight, which resulted in a collision with terrain. Contributing to the accident was the dark night conditions."
19860425X96452,CEN86CA375,1986-04-25,Des Moines,IA,ACC,366GT,BEECH,BARON,WHITE DAVID K,0,NONE,"The pilot's inadequate weather evaluation during cruise flight, which resulted in a collision with terrain. Contributing to the accident was the contaminated runway surface."
19860922X75148,ANC86LA430,1986-09-22,Albuquerque,NM,ACC,N70820,CESSNA,210 CENTURION,AMERIFLIGHT LLC,4,NONE,"The pilot's delayed go-around decision during landing, which resulted in a runway excursion. Contributing to the accident was the dark night conditions."
19861009X51563,CEN86FA271,1986-10-09,Sioux Falls,SD,ACC,N875FQ,STINSON,108-3,,,NONE,"The pilot's inadequate preflight inspection during approach, which resulted in a runway excursion. Contributing to the accident was the pilot's lack of recent experience in type."
19870211X63029,CEN87LA136,1987-02-11,Santa Ana,CA,ACC,N3484Z,BEECH,V35B,MOORE MICHAEL S,0,MINR,"The pilot's improper fuel management during approach, which resulted in an aerodynamic stall. Contributing to the accident was the gusting crosswind."
19870816X58098,GAA87LA168,1987-08-16,Oakland,CA,ACC,N48FU,ERCOUPE,415-C,,2,DEST,"The pilot's improper fuel management during takeoff, which resulted in a runway excursion. Contributing to the accident was the obscured horizon reference."
19871228X78889,DCA87LA292,1987-12-28,Boston,MA,INC,N11801,Cessna,210L,MERIDIAN AIR CHARTER LLC,0,MINR,"The pilot's failure to maintain airspeed during cruise flight, which resulted in a runway excursion. Contributing to the accident was inadequate maintenance inspection."
19880321X75689,DCA88FA156,1988-03-21,Oakland,CA,ACC,N5916C,CHAMPION,7ECA,,0,MINR,"The pilot's failure to maintain airspeed during landing, which resulted in a collision with terrain. Contributing to the accident was the obscured horizon reference."
19900715X33333,WPR90FA453,1990-07-15,San Diego,CA,ACC,N415BH,LUSCOMBE,8A,,,DEST,"The pilot's improper flare during landing, which resulted in a runway excursion. Contributing to the accident was the pilot's lack of recent experience in type."
19901020X64945,GAA90CA414,1990-10-20,Memphis,TN,INC,N80096,ERCOUPE,415-C,,0,DEST,"The pilot's failure to maintain directional control during cruise flight, which resulted in a collision with terrain. Contributing to the accident was the contaminated runway surface."
19910118X44585,ANC91LA189,1991-01-18,Austin,TX,ACC,N70327,CESSNA,210L,MERIDIAN AIR CHARTER LLC,3,SUBS,"The pilot's failure to maintain airspeed during approach, which resulted in a collision with terrain. Contributing to the accident was the gusting crosswind."
19910712X52636,DCA91LA204,1991-07-12,New York,NY,ACC,N6495C,CESSNA,CITATION CJ4,MERIDIAN AIR CHARTER LLC,0,NONE,"The pilot's inadequate weather evaluation during takeoff, which resulted in a gear collapse. Contributing to the accident was the dark night conditions."
19910922X61389,DCA91LA593,1991-09-22,Burbank,CA,INC,N9474B,EMBRAER,ERJ 190-100 IGW,DELTA AIR LINES INC,0,MINR,"The pilot's failure to maintain clearance from terrain during takeoff, which resulted in a ground loop. Contributing to the accident was the obscured horizon reference."
