NOTIFICATION_ID,NOTIF_TYPE,CREATED_DATE,SUPPLIER,PART_NUMBER,PART_DESCRIPTION,LOT_NUMBER,PO_REFERENCE,QTY_INSPECTED,QTY_REJECTED,DEFECT_CODE,DEFECT_DESCRIPTION,SEVERITY,DISPOSITION,INSPECTION_SITE,STATUS,CLOSED_DATE
QN-025-04000,INCOMING_INSPECTION,2025-01-06,"Hailong Precision Industry Co., Ltd.",CMP-DSP-0451,6.7-INCH OLED DISPLAY MODULE,LOT-202501-10,4500087069,18600,230,DEF-SOLDER-01,cold solder joint on connector,MAJOR,USE_AS_IS,MER-DC-US-01,CLOSED,
QN-025-04001,INCOMING_INSPECTION,2025-01-13,Chengdu Skylark Components Co Ltd,CMP-CBL-0345,flex ribbon cable 246,LOT-202501-27,4500087154,3550,35,DEF-PKG-05,packaging damaged in transit,MAJOR,SCRAP,MER-DC-US-02,CLOSED,2025-01-26
QN-025-04002,SUPPLIER_COMPLAINT,2025-01-20,KAOHSIUNG TOOLING,CMP-ADH-0192,structural adhesive 093,LOT-202501-44,,18800,210,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-DC-US-03,CLOSED,2025-02-03
QN-025-04003,SCAR,2025-01-27,Keelung Acoustics Industrial Corp.,CMP-FST-0439,torx screw 340,LOT-202501-61,,2900,5,DEF-SWELL-06,cell pouch deformation observed,MINOR,REWORK,MER-DC-US-04,CLOSED,2025-02-11
QN-025-04004,INCOMING_INSPECTION,2025-02-03,Changshu Display Joint Stock Company,CMP-ENC-0286,MACHINED HOUSING 187,LOT-202502-78,,5800,105,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-DC-US-05,CLOSED,2025-02-19
QN-025-04005,INCOMING_INSPECTION,2025-02-10,Nantong Circuit Inc.,CMP-CAM-0333,camera module 234,LOT-202502-95,4500087995,5700,5,DEF-SWELL-06,cell pouch deformation observed,MINOR,RETURN_TO_VENDOR,MER-DC-US-06,CLOSED,2025-02-27
QN-025-04006,SUPPLIER_COMPLAINT,2025-02-17,Hanoi Lotus Microsystems Corporation,CMP-PCB-0180,main logic board assembly 081,LOT-202502-22,4500088226,17800,30,DEF-COSM-07,cosmetic scratch beyond spec,MINOR,USE_AS_IS,MER-DC-NL-01,CLOSED,2025-03-07
QN-025-04007,SCAR,2025-02-24,CHANGWON DELTA CIRCUIT INC.,CMP-FST-0119,torx screw 020,LOT-202502-39,,14800,65,DEF-ELEC-04,fails electrical continuity test,MAJOR,RETURN_TO_VENDOR,MER-DC-DE-01,CLOSED,2025-03-15
QN-025-04008,INCOMING_INSPECTION,2025-03-03,Pusan Display Industry Co. Ltd,CMP-BAT-0515,Li-ion battery pack 416,LOT-202503-56,,4500,90,DEF-SWELL-06,cell pouch deformation observed,MAJOR,SCRAP,MER-DC-CN-01,CLOSED,2025-03-23
QN-025-04009,INCOMING_INSPECTION,2025-03-10,"Incheon Circuit Co., Ltd.",CMP-CBL-0361,flex ribbon cable 262,LOT-202503-73,,2450,150,DEF-ELEC-04,fails electrical continuity test,CRITICAL,RETURN_TO_VENDOR,MER-DC-CN-02,CLOSED,2025-03-31
QN-025-04010,SUPPLIER_COMPLAINT,2025-03-17,Binh Duong Microsystems Industrial Corp.,CMP-ADH-0208,structural adhesive 109,LOT-202503-90,4500089169,11200,20,DEF-COSM-07,cosmetic scratch beyond spec,MINOR,USE_AS_IS,MER-DC-JP-01,CLOSED,2025-04-08
QN-025-04011,SCAR,2025-03-24,Gwangju Metalworks Industrial Corp.,MRO-GEN-0729,maintenance supply item 29,LOT-202503-17,4500087858,19350,480,DEF-COSM-07,cosmetic scratch beyond spec,CRITICAL,USE_AS_IS,MER-DC-GB-01,CLOSED,2025-04-16
QN-025-04012,INCOMING_INSPECTION,2025-03-31,Sapporo Optics Joint Stock Company,CMP-ENC-0102,machined housing 003,LOT-202503-34,,13250,55,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-DC-MX-01,CLOSED,2025-04-24
QN-025-04013,INCOMING_INSPECTION,2025-04-07,Dongguan Rixin Energy Inc.,CMP-CAM-0349,camera module 250,LOT-202504-51,,11900,250,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-DC-SG-01,CLOSED,2025-05-02
QN-025-04014,SUPPLIER_COMPLAINT,2025-04-14,Quanzhou Apex Optics,CMP-PCB-0140,main logic board assembly 041,LOT-202504-68,,1800,5,DEF-PKG-05,packaging damaged in transit,MINOR,REWORK,MER-3PL-US-01,CLOSED,2025-05-10
QN-025-04015,SCAR,2025-04-21,"Nagoya Metalworks Industry Co., Ltd.",CMP-DSP-0484,OLED display module 385,LOT-202504-85,4500087980,650,0,DEF-COSM-02,cosmetic scratch beyond spec,MINOR,RETURN_TO_VENDOR,MER-3PL-PL-02,CLOSED,2025-05-18
QN-025-04016,INCOMING_INSPECTION,2025-04-28,Wuxi  Crane Optics Industry Co. Ltd,CMP-BAT-0130,Li-ion battery pack 023,LOT-202504-12,4500089636,13000,20,DEF-SOLDER-01,cold solder joint on connector,MINOR,RETURN_TO_VENDOR,MER-3PL-MY-03,CLOSED,2025-05-26
QN-025-04017,INCOMING_INSPECTION,2025-05-05,"Taichung Energy Co., Ltd.",CMP-CBL-0377,flex ribbon cable 278,LOT-202505-29,,13350,260,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-DC-US-01,CLOSED,2025-06-03
QN-025-04018,SUPPLIER_COMPLAINT,2025-05-12,Shaoxing Polymer Industrial Corp.,CMP-ADH-0224,structural adhesive 125,LOT-202505-46,,11650,5,DEF-SOLDER-01,cold solder joint on connector,MINOR,REWORK,MER-DC-US-02,CLOSED,2025-06-11
QN-025-04019,SCAR,2025-05-19,Dalian Crest Electronics Industrial Corp.,CMP-FST-0472,TORX SCREW 373,LOT-202505-63,,18350,20,DEF-ELEC-04,fails electrical continuity test,MINOR,REWORK,MER-DC-US-03,CLOSED,2025-06-19
QN-025-04020,INCOMING_INSPECTION,2025-05-26,Volta Precision Joint Stock Company,CMP-ENC-0118,machined housing 019,LOT-202505-80,4500089072,15350,135,DEF-PKG-05,packaging damaged in transit,MAJOR,RETURN_TO_VENDOR,MER-DC-US-04,CLOSED,2025-06-27
QN-025-04021,INCOMING_INSPECTION,2025-06-02,Da Nang Components Inc.,CMP-CAM-0365,camera module 266,LOT-202506-97,4500088852,14450,310,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-DC-US-05,CLOSED,2025-07-05
QN-025-04022,SUPPLIER_COMPLAINT,2025-06-09,Kunshan  Polymer Corporation,CMP-PCB-0252,main logic board assembly 153,LOT-202506-24,,10250,5,DEF-SWELL-06,cell pouch deformation observed,MINOR,USE_AS_IS,MER-DC-US-06,CLOSED,2025-07-13
QN-025-04023,SCAR,2025-06-16,Gumi Electronics (Shanghai),CMP-DSP-0500,OLED display module 393,LOT-202506-41,,11650,35,DEF-PKG-05,packaging damaged in transit,MINOR,USE_AS_IS,MER-DC-NL-01,CLOSED,2025-07-21
