TICKET_ID,CREATED_TS,CHANNEL,CUSTOMER_COUNTRY,PRODUCT_DESCRIPTION_RAW,SERIAL_NUMBER,PURCHASE_STORE,ISSUE_CATEGORY,SUBJECT,DESCRIPTION,STATUS,RESOLUTION_CODE,RESOLVED_DATE,CSAT_SCORE
TCK-300000,2025-06-15T08:00:00Z,CHAT,US,,,Meridian Store Austin 01,SOFTWARE,Software issue with Pulse 7 128GB Black,I went back to Meridian Store Austin 01 but they redirected me here. The pulse 7 128gb black is rebooting in a loop.,CLOSED,REPLACED,2025-06-17,
TCK-300001,2025-06-18T09:07:00+08:00,CHAT,US,Pulse8128GBSilver 128,PLS8007919B,,AUDIO,Audio issue with Pulse 8 128GB Silver,I went back to the store but they redirected me here. The Meridian Pulse 8 128GB Silver is crackling at high volume.,NEW,,,4
TCK-300002,2025-06-21T10:14:00-07:00,STORE,AU,my meridian phone,PLS8L15838C,,OTHER,Other issue with Pulse 8 Lite 128GB Blue,Customer reports behaving oddly on a Pulse8Lite128GBBlue 128. The unit seems to be the cause.,RESOLVED,NO_FAULT_FOUND,2025-06-25,2
TCK-300003,2025-06-24T11:21:00+01:00,PHONE,JP,pullse 9 pro 256gb black,PLS9P23757D,,SHIPPING_DAMAGE,Shipping Damage issue with Pulse 9 Pro 256GB Black,Customer reports delivered with a cracked corner on a my meridian phone. The unit seems to be the cause.,IN_PROGRESS,NO_FAULT_FOUND,2025-06-29,5
TCK-300004,2025-06-27T12:28:00+09:00,STORE,CN,pulse 9 lite 256gb silver,PLS9L31676E,,SOFTWARE,Software issue with Pulse 9 Lite 256GB Silver,Gift for my daughter — the pullse 9 lite 256gb silver arrived stuck on the update screen. Box was intact.,CLOSED,REPLACED,2025-07-03,3
TCK-300005,2025-06-30T13:35:00-05:00,PHONE,NL,Meridian Pulse 6 256GB Blue,PLS6039595F,,BATTERY,Battery issue with Pulse 6 256GB Blue,Customer reports not holding a charge on a pulse 6 256gb blue. The unit seems to be the cause.,CLOSED,NO_FAULT_FOUND,2025-07-07,1
TCK-300006,2025-07-03T14:42:00Z,STORE,FR,Aura14128GBBlack 128,ARA1447514G,,DISPLAY,Display issue with Aura 14 128GB Black,Our IT team sees the Meridian Aura 14 128GB Black flickering at low brightness on multiple units we deployed.,RESOLVED,,NULL,
TCK-300007,2025-07-06T15:49:00+08:00,EMAIL,DE,my meridian laptop,ARA1555433H,Meridian Store Munich 78,SOFTWARE,Software issue with Aura 15 Pro 128GB Silver,Our IT team sees the Aura15Pro128GBSilver 128 freezing on the lock screen on multiple units we deployed.,IN_PROGRESS,REPAIRED,2025-07-15,2
TCK-300008,2025-07-09T16:56:00-07:00,CHAT,GB,aura 16 pro 128gb blue,ARA1663352K,,SHIPPING_DAMAGE,Shipping Damage issue with Aura 16 Pro 128GB Blue,My my meridian laptop stopped dented on arrival after the last update. I bought it at the store and it is only 9 months old.,IN_PROGRESS,REPLACED,2025-07-19,5
TCK-300009,2025-07-12T17:03:00+01:00,PHONE,JP,aura go 256gb black,ARAGO71271M,,AUDIO,Audio issue with Aura Go 256GB Black,Gift for my daughter — the aura go 256gb black arrived losing the left channel. Box was intact.,RESOLVED,REPAIRED,2025-07-14,3
TCK-300010,2025-07-15T18:10:00+09:00,CHAT,CN,Meridian Aura 14 Pro 256GB Silver,ARA1479190N,,AUDIO,Audio issue with Aura 14 Pro 256GB Silver,My aura 14 pro 256gb silver stopped losing the left channel after the last update. I bought it at the store and it is only 11 months old.,RESOLVED,REPLACED,2025-07-18,1
TCK-300011,2025-07-18T08:17:00-05:00,STORE,NL,Slate9256GBBlue 256,SLT9087109P,,OTHER,Other issue with Slate 9 256GB Blue,My Meridian Slate 9 256GB Blue stopped getting warm in standby after the last update. I bought it at the store and it is only 12 months old.,CLOSED,,N/A,4
TCK-300012,2025-07-21T09:24:00Z,STORE,FR,my meridian tablet,,,BATTERY,Battery issue with Slate 11 128GB Black,"Hello, my Slate11128GBBlack 128 has been shutting down at 30% since last week. Very disappointed.",IN_PROGRESS,NO_FAULT_FOUND,2025-07-26,
TCK-300013,2025-07-24T10:31:00+08:00,CHAT,DE,,SLT1102947R,,DISPLAY,Display issue with Slate 11 Pro 128GB Silver,Gift for my daughter — the my meridian tablet arrived flickering at low brightness. Box was intact.,RESOLVED,REPAIRED,2025-07-30,5
TCK-300014,2025-07-27T11:38:00-07:00,EMAIL,GB,halo buds blue,HLOB110866S,Meridian Store London 65,BATTERY,Battery issue with Halo Buds Blue,The halo buds blue I purchased keeps shutting down at 30%. Please advise on warranty options.,CLOSED,REPLACED,2025-08-03,3
TCK-300015,2025-07-30T12:45:00+01:00,STORE,CA,Meridian Halo Mini Black,HLOMN18785T,,SOFTWARE,Software issue with Halo Mini Black,Our IT team sees the halo mini black stuck on the update screen on multiple units we deployed.,RESOLVED,REPAIRED,2025-08-07,1
TCK-300016,2025-08-02T13:52:00+09:00,PHONE,US,HaloGoSilver,HLOGO26704U,,CONNECTIVITY,Connectivity issue with Halo Go Silver,Meridian Halo Go Silver losing 5G signal during normal use. Requesting a replacement unit.,RESOLVED,,,4
TCK-300017,2025-08-05T14:59:00-05:00,EMAIL,NL,my meridian speaker,HLOB334623V,,SOFTWARE,Software issue with Halo Buds 3 Blue,I went back to the store but they redirected me here. The device is rebooting in a loop.,IN_PROGRESS,REPLACED,2025-08-15,NULL
TCK-300018,2025-08-08T15:06:00Z,STORE,FR,core watch 3 green,CRW3042542W,,DISPLAY,Display issue with Core Watch 3 Green,After charging overnight the device started flickering at low brightness. The unit feels warm.,NEW,REPLACED,2025-08-10,
