FISCAL_QUARTER,STORE_CODE,STORE_NAME,PRODUCT_FAMILY,UNITS_SOLD,RETURNS_UNITS,NET_SALES_AMOUNT,CURRENCY_CODE,NET_SALES_USD
FY2025-Q3,MER-RTL-US-0001,Austin Flagship Store,AURA,2646,68,"US$3,116,990.00",USD,"3,116,990.00"
FY2025-Q3,MER-RTL-US-0001,Austin Flagship Store,SLATE,1512,37,"US$746,930.00",USD,"746,930.00"
FY2025-Q3,MER-RTL-US-0001,Austin Flagship Store,HALO,1134,29,"US$183,140.00",USD,"183,140.00"
FY2025-Q3,MER-RTL-US-0001,Austin Flagship Store,CORE,1323,36,"US$326,780.00",USD,"326,780.00"
FY2025-Q4,MER-RTL-US-0001,Austin Flagship Store,AURA,2881,74,"US$3,465,270.00",USD,"3,465,270.00"
FY2025-Q4,MER-RTL-US-0001,Austin Flagship Store,SLATE,1646,44,"US$830,240.00",USD,"830,240.00"
FY2025-Q4,MER-RTL-US-0001,Austin Flagship Store,HALO,1234,32,"US$203,490.00",USD,"203,490.00"
FY2025-Q4,MER-RTL-US-0001,Austin Flagship Store,CORE,1440,37,"US$363,170.00",USD,"363,170.00"
FY2026-Q1,MER-RTL-US-0001,Austin Flagship Store,AURA,3116,79,"US$3,825,200.00",USD,"3,825,200.00"
FY2026-Q1,MER-RTL-US-0001,Austin Flagship Store,SLATE,1780,46,"US$916,340.00",USD,"916,340.00"
FY2026-Q1,MER-RTL-US-0001,Austin Flagship Store,HALO,1335,36,"US$224,680.00",USD,"224,680.00"
FY2026-Q1,MER-RTL-US-0001,Austin Flagship Store,CORE,1558,41,"US$401,030.00",USD,"401,030.00"
FY2026-Q2,MER-RTL-US-0001,Austin Flagship Store,AURA,3351,85,"US$4,196,790.00",USD,"4,196,790.00"
FY2026-Q2,MER-RTL-US-0001,Austin Flagship Store,SLATE,1915,47,"US$1,005,760.00",USD,"1,005,760.00"
FY2026-Q2,MER-RTL-US-0001,Austin Flagship Store,HALO,1436,35,"US$246,560.00",USD,"246,560.00"
FY2026-Q2,MER-RTL-US-0001,Austin Flagship Store,CORE,1675,44,"US$439,860.00",USD,"439,860.00"
FY2025-Q3,MER-RTL-US-0002,Meridian Store Denver 02,PULSE,3203,81,"2,609,800.00",USD,"2,609,800.00"
FY2025-Q3,MER-RTL-US-0002,Meridian Store Denver 02,SLATE,1281,35,"646,140.00",USD,"646,140.00"
FY2025-Q3,MER-RTL-US-0002,Meridian Store Denver 02,HALO,961,27,"158,470.00",USD,"158,470.00"
FY2025-Q3,MER-RTL-US-0002,Meridian Store Denver 02,CORE,1121,30,"282,720.00",USD,"282,720.00"
FY2025-Q4,MER-RTL-US-0002,Meridian Store Denver 02,PULSE,3488,90,"2,900,620.00",USD,"2,900,620.00"
FY2025-Q4,MER-RTL-US-0002,Meridian Store Denver 02,SLATE,1395,34,"718,150.00",USD,"718,150.00"
FY2025-Q4,MER-RTL-US-0002,Meridian Store Denver 02,HALO,1046,28,"176,040.00",USD,"176,040.00"
FY2025-Q4,MER-RTL-US-0002,Meridian Store Denver 02,CORE,1220,30,"314,030.00",USD,"314,030.00"
FY2026-Q1,MER-RTL-US-0002,Meridian Store Denver 02,PULSE,3772,94,"3,200,160.00",USD,"3,200,160.00"
FY2026-Q1,MER-RTL-US-0002,Meridian Store Denver 02,SLATE,1509,39,"792,530.00",USD,"792,530.00"
FY2026-Q1,MER-RTL-US-0002,Meridian Store Denver 02,HALO,1131,28,"194,190.00",USD,"194,190.00"
FY2026-Q1,MER-RTL-US-0002,Meridian Store Denver 02,CORE,1320,36,"346,630.00",USD,"346,630.00"
FY2026-Q2,MER-RTL-US-0002,Meridian Store Denver 02,PULSE,4057,101,"3,510,120.00",USD,"3,510,120.00"
FY2026-Q2,MER-RTL-US-0002,Meridian Store Denver 02,SLATE,1623,42,"869,280.00",USD,"869,280.00"
FY2026-Q2,MER-RTL-US-0002,Meridian Store Denver 02,HALO,1217,30,"213,100.00",USD,"213,100.00"
FY2026-Q2,MER-RTL-US-0002,Meridian Store Denver 02,CORE,1420,37,"380,280.00",USD,"380,280.00"
FY2025-Q3,MER-RTL-US-0003,Meridian Store Seattle 03,PULSE,2779,69,"2,311,020.00",USD,"2,311,020.00"
FY2025-Q3,MER-RTL-US-0003,Meridian Store Seattle 03,AURA,1945,51,"2,387,680.00",USD,"2,387,680.00"
FY2025-Q3,MER-RTL-US-0003,Meridian Store Seattle 03,HALO,833,23,"140,190.00",USD,"140,190.00"
FY2025-Q3,MER-RTL-US-0003,Meridian Store Seattle 03,CORE,972,26,"250,190.00",USD,"250,190.00"
FY2025-Q4,MER-RTL-US-0003,Meridian Store Seattle 03,PULSE,3026,78,"2,567,260.00",USD,"2,567,260.00"
FY2025-Q4,MER-RTL-US-0003,Meridian Store Seattle 03,AURA,2118,54,"2,652,580.00",USD,"2,652,580.00"
FY2025-Q4,MER-RTL-US-0003,Meridian Store Seattle 03,HALO,907,25,"155,730.00",USD,"155,730.00"
FY2025-Q4,MER-RTL-US-0003,Meridian Store Seattle 03,CORE,1059,29,"278,090.00",USD,"278,090.00"
FY2026-Q1,MER-RTL-US-0003,Meridian Store Seattle 03,PULSE,3273,84,"2,831,800.00",USD,"2,831,800.00"
FY2026-Q1,MER-RTL-US-0003,Meridian Store Seattle 03,AURA,2291,58,"2,926,070.00",USD,"2,926,070.00"
FY2026-Q1,MER-RTL-US-0003,Meridian Store Seattle 03,HALO,982,26,"171,950.00",USD,"171,950.00"
FY2026-Q1,MER-RTL-US-0003,Meridian Store Seattle 03,CORE,1145,29,"306,630.00",USD,"306,630.00"
FY2026-Q2,MER-RTL-US-0003,Meridian Store Seattle 03,PULSE,3520,88,"2,808,960.00",USD,"2,808,960.00"
FY2026-Q2,MER-RTL-US-0003,Meridian Store Seattle 03,AURA,2464,63,"2,902,590.00",USD,"2,902,590.00"
FY2026-Q2,MER-RTL-US-0003,Meridian Store Seattle 03,HALO,1056,26,"170,540.00",USD,"170,540.00"
FY2026-Q2,MER-RTL-US-0003,Meridian Store Seattle 03,CORE,1232,30,"304,300.00",USD,"304,300.00"
FY2025-Q3,MER-RTL-CA-0004,Meridian Store Vancouver 04,PULSE,2454,61,"2,813,472.97",CAD,"2,081,970.00"
FY2025-Q3,MER-RTL-CA-0004,Meridian Store Vancouver 04,AURA,1718,44,"2,907,594.59",CAD,"2,151,620.00"
FY2025-Q3,MER-RTL-CA-0004,Meridian Store Vancouver 04,SLATE,981,25,"696,243.24",CAD,"515,220.00"
FY2025-Q3,MER-RTL-CA-0004,Meridian Store Vancouver 04,CORE,859,23,"304,824.32",CAD,"225,570.00"
FY2025-Q4,MER-RTL-CA-0004,Meridian Store Vancouver 04,PULSE,2672,68,"3,124,067.57",CAD,"2,311,810.00"
FY2025-Q4,MER-RTL-CA-0004,Meridian Store Vancouver 04,AURA,1870,47,"3,227,513.51",CAD,"2,388,360.00"
FY2025-Q4,MER-RTL-CA-0004,Meridian Store Vancouver 04,SLATE,1069,29,"773,729.73",CAD,"572,560.00"
FY2025-Q4,MER-RTL-CA-0004,Meridian Store Vancouver 04,CORE,935,24,"338,364.86",CAD,"250,390.00"
FY2026-Q1,MER-RTL-CA-0004,Meridian Store Vancouver 04,PULSE,2890,74,"3,116,513.51",CAD,"2,306,220.00"
FY2026-Q1,MER-RTL-CA-0004,Meridian Store Vancouver 04,AURA,2023,52,"3,220,391.89",CAD,"2,383,090.00"
FY2026-Q1,MER-RTL-CA-0004,Meridian Store Vancouver 04,SLATE,1156,30,"771,702.70",CAD,"571,060.00"
FY2026-Q1,MER-RTL-CA-0004,Meridian Store Vancouver 04,CORE,1011,27,"337,459.46",CAD,"249,720.00"
FY2026-Q2,MER-RTL-CA-0004,Meridian Store Vancouver 04,PULSE,3109,80,"3,423,256.76",CAD,"2,533,210.00"
FY2026-Q2,MER-RTL-CA-0004,Meridian Store Vancouver 04,AURA,2176,54,"3,536,878.38",CAD,"2,617,290.00"
FY2026-Q2,MER-RTL-CA-0004,Meridian Store Vancouver 04,SLATE,1243,32,"847,256.76",CAD,"626,970.00"
FY2026-Q2,MER-RTL-CA-0004,Meridian Store Vancouver 04,CORE,1088,27,"370,797.30",CAD,"274,390.00"
FY2025-Q3,MER-RTL-GB-0005,Meridian Store London 05,PULSE,2197,56,"1.496.724,41",GBP,"1,900,840.00"
FY2025-Q3,MER-RTL-GB-0005,Meridian Store London 05,AURA,1538,40,"1.546.716,54",GBP,"1,964,330.00"
FY2025-Q3,MER-RTL-GB-0005,Meridian Store London 05,SLATE,879,24,"370.700,79",GBP,"470,790.00"
FY2025-Q3,MER-RTL-GB-0005,Meridian Store London 05,HALO,659,16,"90.858,27",GBP,"115,390.00"
FY2025-Q4,MER-RTL-GB-0005,Meridian Store London 05,PULSE,2393,61,"1.503.629,92",GBP,"1,909,610.00"
FY2025-Q4,MER-RTL-GB-0005,Meridian Store London 05,AURA,1675,44,"1.553.661,42",GBP,"1,973,150.00"
