LEASE_ID,AMENDMENT_NO,FACILITY_CODE,PROPERTY_NAME,PROPERTY_TYPE,ADDRESS_LINE_1,CITY,STATE_PROVINCE,COUNTRY,LANDLORD_NAME,LEASE_TYPE,LEASE_TERM_MONTHS,RENT_CURRENCY,ESCALATION_RATE_PCT,RENEWAL_OPTIONS,SQUARE_FOOTAGE,AREA_UOM,SECURITY_DEPOSIT,LEASE_COMMENCEMENT_DATE,EXPIRATION_DATE,BASE_RENT_ANNUAL,LEASE_STATUS
LSE-5001,0,MER-RTL-US-0001,Austin Flagship Store  ,RETAIL,100 Main St,Austin,TX,US,Carraway REIT LP,Gross,144,USD,3.0,3 x 3 yr fixed,"2,200",,"10,000",2004-01-01,2016-01-01,"52,000",TERMINATED
LSE-1001,0,MER-RTL-US-0001,Austin Flagship Store  ,RETAIL,100 Main St,Austin,TX,US,Carraway REIT LP,Gross,144,USD,3.0,3 x 3 yr fixed,"2,200",,"10,000",2016-01-01,2026-07-18,"65,000",ACTIVE
LSE-5002,0,MER-RTL-US-0002,Denver Mall Store,RETAIL,125 Main St,Denver,CO,US,Sakura Estate KK,Modified Gross,144,USD,2.0,1 x 5 yr at 95% FMV,"2,300",SF,"9,000",2005-02-02,2017-02-02,"48,800",EXPIRED
LSE-1002,0,MER-RTL-US-0002,Denver Mall Store,RETAIL,125 Main St,Denver,CO,US,Sakura Estate KK,Modified Gross,144,USD,2.0,1 x 5 yr at 95% FMV,"2,300",SF,"9,000",2017-02-02,2026-08-04,"61,000",ACTIVE
LSE-5003,0,MER-RTL-US-0003,Seattle Center Store,RETAIL,150 Main St,Seattle,WA,US,Harbour City Holdings,Modified Gross,84,USD,2.5,1 x 5 yr at 95% FMV,"2,400",SF,"12,000",2011-03-04,2018-03-03,"48,800",EXPIRED
LSE-1003,0,MER-RTL-US-0003,Seattle Center Store,RETAIL,150 Main St,Seattle,WA,US,Harbour City Holdings,Modified Gross,84,USD,2.5,1 x 5 yr at 95% FMV,"2,400",SF,"12,000",2018-03-03,2026-08-21,"61,000",ACTIVE
LSE-5004,0,MER-RTL-CA-0004,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Hudson Gate Partners,NNN,84,USD,2.5,3 x 3 yr fixed,"2,500",SF,"9,000",2012-04-04,2019-04-04,"64,000",EXPIRED
LSE-1004,0,MER-RTL-CA-0004,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Hudson Gate Partners,NNN,84,USD,2.5,3 x 3 yr fixed,"2,500",SF,"9,000",2019-04-04,2026-09-07,"80,000",ACTIVE
LSE-5005,0,MER-RTL-GB-0005,Gateway Plaza,RETAIL,200 Market Ave,London,,GB,Brookline Property Trust,Gross,120,GBP,2.5,none,242,SQM,"7,000",06.05.2010,2020-05-05,"52,000",EXPIRED
LSE-1005,0,MER-RTL-GB-0005,Gateway Plaza,RETAIL,200 Market Ave,London,,GB,Brookline Property Trust,Gross,120,GBP,2.5,none,242,SQM,"7,000",05.05.2020,2026-09-24,"65,000",ACTIVE
